#
# encoding-csv3.txt
#
 
# 文字区分:
# No 規格等         補足情報   
# -- -------------- -----------
#  0 制御文字       制御文字   
#  1 ASCII          BasicJ     
#  2 JIS X 0201     互換文字   
#  3 JIS X 0208     NEC特殊文字
#  4 JIS X 0213 1面 IBM拡張文字
#  5 JIS X 0213 2面 その他BMP  
#  6 JIS X 0212     追加面     
#  7 ベンダー外字   結合文字   
#  9 未定義         結合文字列 
 
# 詳細区分:
# No Unicode      正規化       規格等       水準         Windows-31J        法令等        
# -- ------------ ------------ ------------ ------------ ------------------ --------------
#  0 -            変換なし     制御文字     非漢字       制御文字           非漢字        
#  1 基本多言語面 NFDで変換    ASCII        第1水準漢字  ASCII              常用漢字      
#  2 追加面       NFKCで変換   JIS X 0201   第2水準漢字  JIS X 0201         常用漢字(旧字)
#  3 結合文字     半角・全角形 JIS X 0208   第3水準漢字  JIS X 0208         人名用漢字(二)
#  4 結合文字列   NFCで変換    JIS X 0213   第4水準漢字  NEC特殊文字        人名用漢字(一)
#  5 -            -            JIS X 0212   補助漢字     NEC選定IBM拡張文字 表外漢字(印標)
#  6 -            -            -            -            IBM拡張文字        表外漢字(簡慣)
#  7 Decodeのみ可 -            ベンダー外字 ベンダー外字 Encodeのみ可       その他        
#  8 ユーザー外字 ユーザー外字 ユーザー外字 ユーザー外字 ユーザー外字       ユーザー外字  
#  9 未定義       未定義       未定義       未定義       未定義             未定義        
 
# ASCII
 
0000    ,00,100000,NUL
0001    ,00,100000,SOH
0002    ,00,100000,STX
0003    ,00,100000,ETX
0004    ,00,100000,EOT
0005    ,00,100000,ENQ
0006    ,00,100000,ACK
0007    ,00,100000,BEL
0008    ,00,100000,BS
0009    ,00,100000,HT
000A    ,00,100000,LF
000B    ,00,100000,VT
000C    ,00,100000,FF
000D    ,00,100000,CR
000E    ,00,100000,SO
000F    ,00,100000,SI
0010    ,00,100000,DLE
0011    ,00,100000,DC1
0012    ,00,100000,DC2
0013    ,00,100000,DC3
0014    ,00,100000,DC4
0015    ,00,100000,NAK
0016    ,00,100000,SYN
0017    ,00,100000,ETB
0018    ,00,100000,CAN
0019    ,00,100000,EM
001A    ,00,100000,SUB
001B    ,00,100000,ESC
001C    ,00,100000,FS
001D    ,00,100000,GS
001E    ,00,100000,RS
001F    ,00,100000,US
 
0020    ,11,101010,[ ]
0021    ,11,101010,[!]
0022    ,11,101010,["]
0023    ,11,101010,[#]
0024    ,11,101010,[$]
0025    ,11,101010,[%]
0026    ,11,101010,[&]
0027    ,11,101010,[']
0028    ,11,101010,[(]
0029    ,11,101010,[)]
002A    ,11,101010,[*]
002B    ,11,101010,[+]
002C    ,11,101010,[,]
002D    ,11,101010,[-]
002E    ,11,101010,[.]
002F    ,11,101010,[/]
0030    ,11,101010,[0]
0031    ,11,101010,[1]
0032    ,11,101010,[2]
0033    ,11,101010,[3]
0034    ,11,101010,[4]
0035    ,11,101010,[5]
0036    ,11,101010,[6]
0037    ,11,101010,[7]
0038    ,11,101010,[8]
0039    ,11,101010,[9]
003A    ,11,101010,[:]
003B    ,11,101010,[;]
003C    ,11,101010,[<]
003D    ,11,101010,[=]
003E    ,11,101010,[>]
003F    ,11,101010,[?]
0040    ,11,101010,[@]
0041    ,11,101010,[A]
0042    ,11,101010,[B]
0043    ,11,101010,[C]
0044    ,11,101010,[D]
0045    ,11,101010,[E]
0046    ,11,101010,[F]
0047    ,11,101010,[G]
0048    ,11,101010,[H]
0049    ,11,101010,[I]
004A    ,11,101010,[J]
004B    ,11,101010,[K]
004C    ,11,101010,[L]
004D    ,11,101010,[M]
004E    ,11,101010,[N]
004F    ,11,101010,[O]
0050    ,11,101010,[P]
0051    ,11,101010,[Q]
0052    ,11,101010,[R]
0053    ,11,101010,[S]
0054    ,11,101010,[T]
0055    ,11,101010,[U]
0056    ,11,101010,[V]
0057    ,11,101010,[W]
0058    ,11,101010,[X]
0059    ,11,101010,[Y]
005A    ,11,101010,[Z]
005B    ,11,101010,[[]
005C    ,11,101010,[\]
005D    ,11,101010,[]]
005E    ,11,101010,[^]
005F    ,11,101010,[_]
0060    ,11,101010,[`]
0061    ,11,101010,[a]
0062    ,11,101010,[b]
0063    ,11,101010,[c]
0064    ,11,101010,[d]
0065    ,11,101010,[e]
0066    ,11,101010,[f]
0067    ,11,101010,[g]
0068    ,11,101010,[h]
0069    ,11,101010,[i]
006A    ,11,101010,[j]
006B    ,11,101010,[k]
006C    ,11,101010,[l]
006D    ,11,101010,[m]
006E    ,11,101010,[n]
006F    ,11,101010,[o]
0070    ,11,101010,[p]
0071    ,11,101010,[q]
0072    ,11,101010,[r]
0073    ,11,101010,[s]
0074    ,11,101010,[t]
0075    ,11,101010,[u]
0076    ,11,101010,[v]
0077    ,11,101010,[w]
0078    ,11,101010,[x]
0079    ,11,101010,[y]
007A    ,11,101010,[z]
007B    ,11,101010,[{]
007C    ,11,101010,[|]
007D    ,11,101010,[}]
007E    ,11,101010,[~]
007F    ,00,100000,DEL
 
# JIS X 0201
 
00A5    ,21,102070,[¥] -> 3F (SJIS2004)
203E    ,21,122070,[‾] -> 3F (SJIS2004)
 
 
FF61    ,22,132020,[｡] -> [。] (NFKC)
FF62    ,22,132020,[｢] -> [「] (NFKC)
FF63    ,22,132020,[｣] -> [」] (NFKC)
FF64    ,22,132020,[､] -> [、] (NFKC)
FF65    ,22,132020,[･] -> [・] (NFKC)
FF66    ,22,132020,[ｦ] -> [ヲ] (NFKC)
FF67    ,22,132020,[ｧ] -> [ァ] (NFKC)
FF68    ,22,132020,[ｨ] -> [ィ] (NFKC)
FF69    ,22,132020,[ｩ] -> [ゥ] (NFKC)
FF6A    ,22,132020,[ｪ] -> [ェ] (NFKC)
FF6B    ,22,132020,[ｫ] -> [ォ] (NFKC)
FF6C    ,22,132020,[ｬ] -> [ャ] (NFKC)
FF6D    ,22,132020,[ｭ] -> [ュ] (NFKC)
FF6E    ,22,132020,[ｮ] -> [ョ] (NFKC)
FF6F    ,22,132020,[ｯ] -> [ッ] (NFKC)
FF70    ,22,132020,[ｰ] -> [ー] (NFKC)
FF71    ,22,132020,[ｱ] -> [ア] (NFKC)
FF72    ,22,132020,[ｲ] -> [イ] (NFKC)
FF73    ,22,132020,[ｳ] -> [ウ] (NFKC)
FF74    ,22,132020,[ｴ] -> [エ] (NFKC)
FF75    ,22,132020,[ｵ] -> [オ] (NFKC)
FF76    ,22,132020,[ｶ] -> [カ] (NFKC)
FF77    ,22,132020,[ｷ] -> [キ] (NFKC)
FF78    ,22,132020,[ｸ] -> [ク] (NFKC)
FF79    ,22,132020,[ｹ] -> [ケ] (NFKC)
FF7A    ,22,132020,[ｺ] -> [コ] (NFKC)
FF7B    ,22,132020,[ｻ] -> [サ] (NFKC)
FF7C    ,22,132020,[ｼ] -> [シ] (NFKC)
FF7D    ,22,132020,[ｽ] -> [ス] (NFKC)
FF7E    ,22,132020,[ｾ] -> [セ] (NFKC)
FF7F    ,22,132020,[ｿ] -> [ソ] (NFKC)
FF80    ,22,132020,[ﾀ] -> [タ] (NFKC)
FF81    ,22,132020,[ﾁ] -> [チ] (NFKC)
FF82    ,22,132020,[ﾂ] -> [ツ] (NFKC)
FF83    ,22,132020,[ﾃ] -> [テ] (NFKC)
FF84    ,22,132020,[ﾄ] -> [ト] (NFKC)
FF85    ,22,132020,[ﾅ] -> [ナ] (NFKC)
FF86    ,22,132020,[ﾆ] -> [ニ] (NFKC)
FF87    ,22,132020,[ﾇ] -> [ヌ] (NFKC)
FF88    ,22,132020,[ﾈ] -> [ネ] (NFKC)
FF89    ,22,132020,[ﾉ] -> [ノ] (NFKC)
FF8A    ,22,132020,[ﾊ] -> [ハ] (NFKC)
FF8B    ,22,132020,[ﾋ] -> [ヒ] (NFKC)
FF8C    ,22,132020,[ﾌ] -> [フ] (NFKC)
FF8D    ,22,132020,[ﾍ] -> [ヘ] (NFKC)
FF8E    ,22,132020,[ﾎ] -> [ホ] (NFKC)
FF8F    ,22,132020,[ﾏ] -> [マ] (NFKC)
FF90    ,22,132020,[ﾐ] -> [ミ] (NFKC)
FF91    ,22,132020,[ﾑ] -> [ム] (NFKC)
