
# N項演算子

U+2211 U+03A3 # ∑

# CJKの記号及び句読点

U+3000 U+0020 # 　

# CJK統合漢字拡張A

U+3402 # 㐂
U+3406 # 㐆
U+342C # 㐬
U+342E # 㐮
U+3468 # 㑨
U+346A # 㑪
U+3492 # 㒒
U+34B5 # 㒵
U+34BC # 㒼
U+34C1 # 㓁
U+34C7 # 㓇
U+34DB # 㓛
U+351F # 㔟
U+355D # 㕝
U+355E # 㕞
U+3563 # 㕣
U+356E # 㕮
U+35A6 # 㖦
U+35A8 # 㖨
U+35C5 # 㗅
U+35DA # 㗚
U+35F4 # 㗴
U+3605 # 㘅
U+364A # 㙊
U+3691 # 㚑
U+3696 # 㚖
U+3699 # 㚙
U+36CF # 㛏
U+3761 # 㝡
U+3762 # 㝢
U+376B # 㝫
U+376C # 㝬
U+3775 # 㝵
U+378D # 㞍
U+37C1 # 㟁
U+37E2 # 㟢
U+37E8 # 㟨
U+37F4 # 㟴
U+37FD # 㟽
U+3800 # 㠀
U+382F # 㠯
U+3836 # 㠶
U+3840 # 㡀
U+385C # 㡜
U+3861 # 㡡
U+38FA # 㣺
U+3917 # 㤗
U+391A # 㤚
U+396F # 㥯
U+3A6E # 㩮
U+3A73 # 㩳
U+3AD6 # 㫖
U+3AD7 # 㫗
U+3AEA # 㫪
U+3B0E # 㬎
U+3B1A # 㬚
U+3B1C # 㬜
U+3B22 # 㬢
U+3B6D # 㭭
U+3B77 # 㭷
U+3B87 # 㮇
U+3B88 # 㮈
U+3B8D # 㮍
U+3BA4 # 㮤
U+3BB6 # 㮶
U+3BC3 # 㯃
U+3BCD # 㯍
U+3BF0 # 㯰
U+3C0F # 㰏
U+3C26 # 㰦
U+3CC3 # 㳃
U+3CD2 # 㳒
U+3D11 # 㴑
U+3D1E # 㴞
U+3D64 # 㵤
U+3D9A # 㶚
U+3DC0 # 㷀
U+3DD4 # 㷔
U+3E05 # 㸅
U+3E3F # 㸿
U+3E60 # 㹠
U+3E66 # 㹦
U+3E68 # 㹨
U+3E83 # 㺃
U+3E94 # 㺔
U+3F57 # 㽗
U+3F72 # 㽲
U+3F75 # 㽵
U+3F77 # 㽷
U+3FAE # 㾮
U+3FC9 # 㿉
U+3FD7 # 㿗

U+4039 # 䀹
U+4058 # 䁘
U+4093 # 䂓
U+4105 # 䄅
U+4148 # 䅈
U+414F # 䅏
U+4163 # 䅣
U+41B4 # 䆴
U+41BF # 䆿
U+41E6 # 䇦
U+41EE # 䇮
U+41F3 # 䇳
U+4207 # 䈇
U+420E # 䈎
U+4264 # 䉤
U+42C6 # 䋆
U+42D6 # 䋖
U+42DD # 䋝
U+4302 # 䌂
U+432B # 䌫
U+4343 # 䍃
U+43EE # 䏮
U+43F0 # 䏰
U+4408 # 䐈
U+4417 # 䐗
U+441C # 䐜
U+4422 # 䐢
U+4453 # 䑓
U+445B # 䑛
U+4476 # 䑶
U+447A # 䑺
U+4491 # 䒑
U+44B3 # 䒳
U+44BE # 䒾
U+44D4 # 䓔
U+4508 # 䔈
U+450D # 䔍
U+4525 # 䔥
U+4543 # 䕃
U+459D # 䖝
U+45B8 # 䖸
U+45E5 # 䗥
U+45EA # 䗪
U+460F # 䘏
U+4641 # 䙁
U+4665 # 䙥
U+46A1 # 䚡
U+46AF # 䚯
U+470C # 䜌
U+4764 # 䝤
U+47FD # 䟽
U+4816 # 䠖
U+4844 # 䡄
U+484E # 䡎
U+48B5 # 䢵
U+49B0 # 䦰
U+49E7 # 䧧
U+49FA # 䧺
U+4A04 # 䨄
U+4A29 # 䨩
U+4ABC # 䪼
U+4B3B # 䬻
U+4BC2 # 䯂
U+4BCA # 䯊
U+4BD2 # 䯒
U+4BE8 # 䯨
U+4C17 # 䰗
U+4C20 # 䰠
U+4CC4 # 䳄
U+4CD1 # 䳑
U+4D07 # 䴇
U+4D77 # 䵷

# CJK統合漢字

U+4E02 # 丂
U+4E0F # 丏
U+4E12 # 丒
U+4E28 # 丨
U+4E29 # 丩
U+4E2B # 丫
U+4E2C U+723F # 丬
U+4E2E # 丮
U+4E2F # 丯
U+4E30 # 丰
U+4E40 # 乀
U+4E47 U+8650 # 乇
U+4E48 # 么
U+4E51 # 乑
U+4E58 U+4E57 新字体  # 乘
U+4E5A # 乚
U+4E69 U+7A3D # 乩
U+4E82 U+4E71 新字体  # 亂
U+4E8D # 亍
U+4E99 U+4E98 異体字  # 亙
U+4E9D U+9F4A # 亝
U+4E9E U+4E9C 新字体  # 亞
U+4EB9 # 亹
U+4EBB # 亻
U+4EBC # 亼
U+4EC3 U+505C # 仃
U+4EC8 # 仈
U+4ED0 # 仐
U+4EDA # 仚
U+4EE1 # 仡
U+4EEB # 仫
U+4EF1 # 仱
U+4EF5 # 仵
U+4EFC U+4EFB # 仼
U+4EFD U+5F6C # 份
U+4EFF U+5023 # 仿
U+4F00 # 伀
U+4F03 # 伃
U+4F0B # 伋
U+4F16 # 伖
U+4F37 # 伷
U+4F39 -      # 伹
U+4F3E # 伾
U+4F48 U+5E03 # 佈
U+4F49 # 佉
U+4F54 U+5360 # 佔
U+4F56 # 佖
U+4F58 # 佘
U+4F5B U+4ECF 新字体  # 佛
U+4F5F # 佟
U+4F60 # 你
U+4F64 # 佤
U+4F6A # 佪
U+4F6C # 佬
U+4F77 # 佷
U+4F78 # 佸
U+4F7A # 佺
U+4F7D # 佽
U+4F7E # 佾
U+4F82 # 侂
U+4F85 # 侅
U+4F86 U+6765 新字体  # 來
U+4F8A # 侊
U+4F92 # 侒
U+4F94 # 侔
U+4F97 # 侗
U+4F9A # 侚
U+4FA0 U+4FE0 JIS2000 # 侠
U+4FAD U+5118 JIS78   # 侭
U+4FB2 # 侲
U+4FBE # 侾
U+4FC5 # 俅
U+4FC9 # 俉
U+4FCB # 俋
U+4FCD -      # 俍
U+4FCF # 俏
U+4FD2 # 俒
U+4FE0 U+4FA0 JIS83   # 俠
U+4FE6 # 俦
U+4FF1 U+5036 JIS2000 # 俱
U+4FF2 U+6548 # 俲
U+4FFF -      # 俿

U+5000 # 倀
U+5001 # 倁
U+5002 U+4F75 JIS97   # 倂
U+500E # 倎
U+5010 # 倐
U+5013 # 倓
U+5018 # 倘
U+501C # 倜
U+501E # 倞
U+5022 # 倢
U+5027 # 倧
U+502E # 倮
U+503B # 倻
U+5040 # 偀
U+5041 # 偁
U+5042 # 偂
U+5046 # 偆
U+5047 U+4EEE 新字体  # 假
U+504E # 偎
U+5053 # 偓
U+5057 # 偗
U+5063 # 偣
U+5066 # 偦
U+506A # 偪
U+5070 # 偰
U+5088 # 傈
U+5092 # 傒
U+5093 # 傓
U+5094 # 傔
U+5095 # 傕
U+5096 # 傖
U+509C # 傜
U+50A3 # 傣
U+50AA # 傪
U+50B1 # 傱
U+50B3 U+4F1D 新字体  # 傳
U+50BA # 傺
U+50BB # 傻
U+50C4 # 僄
U+50C7 # 僇
U+50CC # 僌
U+50CE # 僎
U+50D0 # 僐
U+50D4 # 僔
U+50D8 -      # 僘
U+50D9 # 僙
U+50DE U+507D 新字体  # 僞
U+50E1 # 僡
U+50E6 # 僦
U+50E9 # 僩
U+50F2 # 僲
U+50F3 # 僳
U+50F4 -      # 僴
U+50F9 U+4FA1 新字体  # 價
U+5103 # 儃
U+5106 # 儆
U+5108 # 儈
U+5109 U+5039 新字体  # 儉
U+510B # 儋
U+5117 # 儗
U+5118 U+4FAD JIS78   # 儘
U+511B # 儛
U+511E # 儞
U+5135 # 儵
U+514A # 兊
U+5152 U+5150 新字体  # 兒
U+5155 # 兕
U+5157 # 兗
U+5160 # 兠
U+5164 -      # 兤
U+5169 U+4E21 新字体  # 兩
U+5173 # 关
U+517B # 养
U+5183 # 冃
U+518B # 冋
U+518C U+518A 新字体  # 册
U+5198 # 冘
U+519D # 冝
U+51A3 # 冣
U+51A8 U+5BCC 異体字  # 冨
U+51AD # 冭
U+51BC # 冼
U+51BE -      # 冾
U+51C3 U+5857 # 凃
U+51C9 U+6DBC 異体字  # 凉
U+51CA # 凊
U+51DB U+51DC 異体字  # 凛
U+51DE # 凞
